,brand,province,city,area,name,address,lat,lng,Type,id
0,MissLi,山东省,烟台市,芝罘区,Miss li木子上品,芝罘区前进街1-396号附近,37.547078,121.374062,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFHX3QV1
1,MissLi,山东省,烟台市,芝罘区,Miss li木子上品,芝罘区前进街1-396号附近,37.547078,121.374062,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFHX3QV1
2,MissLi,广西壮族自治区,梧州市,藤县,Miss Li奶茶,藤县绣江路109号(新渔意酒楼旁),23.371878,110.918090,餐饮服务;冷饮店;冷饮店,B0FFGG2Z1N
3,MissLi,广西壮族自治区,梧州市,藤县,Miss Li奶茶,藤县绣江路109号(新渔意酒楼旁),23.371878,110.918090,餐饮服务;冷饮店;冷饮店,B0FFGG2Z1N
4,MissLi,江苏省,泰州市,泰兴市,missli女装,泰兴市鼓楼东路35-37号,32.168555,120.021672,购物服务;购物相关场所;购物相关场所,B0FFGNM1OY
5,MissLi,江苏省,泰州市,泰兴市,missli女装,泰兴市鼓楼东路35-37号,32.168555,120.021672,购物服务;购物相关场所;购物相关场所,B0FFGNM1OY
6,MissLi,江苏省,宿迁市,泗阳县,Miss Li de婚纱,泗阳县人民中路与芙蓉路交叉口东150米,33.712305,118.682451,生活服务;生活服务场所;生活服务场所,B0FFG02RR0
7,MissLi,江苏省,宿迁市,泗阳县,Miss Li de婚纱,泗阳县人民中路与芙蓉路交叉口东150米,33.712305,118.682451,生活服务;生活服务场所;生活服务场所,B0FFG02RR0
8,MissLi,江苏省,徐州市,丰县,missli,丰县支农路招商场3号楼西门北侧(火狐狸门北侧),34.693896,116.608816,购物服务;购物相关场所;购物相关场所,B0FFHHL56Q
9,MissLi,江苏省,徐州市,铜山区,她的花店missli,铜山区琅溪路109号,34.140871,117.266500,购物服务;购物相关场所;购物相关场所,B0FFI92CZE
10,MissLi,江苏省,徐州市,丰县,missli,丰县支农路招商场3号楼西门北侧(火狐狸门北侧),34.693896,116.608816,购物服务;购物相关场所;购物相关场所,B0FFHHL56Q
11,MissLi,江苏省,徐州市,铜山区,她的花店missli,铜山区琅溪路109号,34.140871,117.266500,购物服务;购物相关场所;购物相关场所,B0FFI92CZE
12,MissLi,陕西省,渭南市,大荔县,MISSLI,大荔县北大街妇幼保健院全民体育南邻,34.798212,109.943161,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFIVMRS8
13,MissLi,陕西省,渭南市,富平县,MISS LI,富平县城关镇人民路秦正酒店楼下,34.747621,109.180361,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFHSRLB1
14,MissLi,陕西省,渭南市,大荔县,MISSLI,大荔县北大街妇幼保健院全民体育南邻,34.798212,109.943161,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFIVMRS8
15,MissLi,陕西省,渭南市,富平县,MISS LI,富平县城关镇人民路秦正酒店楼下,34.747621,109.180361,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFHSRLB1
16,MissLi,辽宁省,沈阳市,铁西区,MISSLI,铁西区建设西路18-17号兴隆大都汇F2,41.803868,123.346609,购物服务;专卖店;专营店,B0FFIPMH4P
17,MissLi,辽宁省,沈阳市,沈河区,MISSLI(HK01流行馆店),沈河区中街路205号HK01流行馆F3层,41.801129,123.461320,购物服务;服装鞋帽皮具店;品牌服装店|购物服务;服装鞋帽皮具店;品牌鞋店,B0FFFV36C2
18,MissLi,辽宁省,沈阳市,皇姑区,MISSLI专柜,皇姑区长江街99号千盛百货二楼,41.826566,123.414356,购物服务;专卖店;专营店,B0FFIQDBU3
19,MissLi,辽宁省,沈阳市,铁西区,MISSLI,铁西区建设西路18-17号兴隆大都汇F2,41.803868,123.346609,购物服务;专卖店;专营店,B0FFIPMH4P
20,MissLi,辽宁省,沈阳市,沈河区,MISSLI(HK01流行馆店),沈河区中街路205号HK01流行馆F3层,41.801129,123.461320,购物服务;服装鞋帽皮具店;品牌服装店|购物服务;服装鞋帽皮具店;品牌鞋店,B0FFFV36C2
21,MissLi,辽宁省,沈阳市,皇姑区,MISSLI专柜,皇姑区长江街99号千盛百货二楼,41.826566,123.414356,购物服务;专卖店;专营店,B0FFIQDBU3
