,brand,province,city,area,name,address,lat,lng,Type,id
0,YoungLining|李宁童装|李宁儿童,安徽省,淮南市,田家庵区,李宁儿童,田家庵区朝阳街道人民南路318号淮南百大四楼,32.646490,117.019660,购物服务;专卖店;儿童用品店,B0FFHDCULK
1,YoungLining|李宁童装|李宁儿童,安徽省,淮南市,田家庵区,李宁儿童,田家庵区朝阳街道人民南路318号淮南百大四楼,32.646490,117.019660,购物服务;专卖店;儿童用品店,B0FFHDCULK
2,YoungLining|李宁童装|李宁儿童,湖北省,宜昌市,伍家岗区,李宁,伍家岗区桔城路国贸新天地,30.648274,111.361226,购物服务;专卖店;儿童用品店,B0FFHNWL20
3,YoungLining|李宁童装|李宁儿童,湖北省,宜昌市,伍家岗区,李宁,伍家岗区桔城路国贸新天地,30.648274,111.361226,购物服务;专卖店;儿童用品店,B0FFHNWL20
4,YoungLining|李宁童装|李宁儿童,浙江省,丽水市,莲都区,小李宁童装,莲都区花园路万地广场三楼,28.462225,119.924537,购物服务;购物相关场所;购物相关场所,B0FFHLNPGX
5,YoungLining|李宁童装|李宁儿童,浙江省,丽水市,莲都区,小李宁童装,莲都区花园路万地广场三楼,28.462225,119.924537,购物服务;购物相关场所;购物相关场所,B0FFHLNPGX
6,YoungLining|李宁童装|李宁儿童,浙江省,金华市,婺城区,李宁青少年,婺城区解放东路168号银泰城F6,29.103534,119.653961,购物服务;专卖店;专营店,B0FFIL64SU
7,YoungLining|李宁童装|李宁儿童,浙江省,金华市,婺城区,李宁青少年,婺城区解放东路168号银泰城F6,29.103534,119.653961,购物服务;专卖店;专营店,B0FFIL64SU
8,YoungLining|李宁童装|李宁儿童,贵州省,铜仁市,德江县,卡通欢乐岛童装屋,德江县玉水街道城南步行街B栋一楼李宁隔壁,28.255306,108.120736,购物服务;专卖店;儿童用品店,B0FFG3MC46
9,YoungLining|李宁童装|李宁儿童,贵州省,铜仁市,德江县,卡通欢乐岛童装屋,德江县玉水街道城南步行街B栋一楼李宁隔壁,28.255306,108.120736,购物服务;专卖店;儿童用品店,B0FFG3MC46
10,YoungLining|李宁童装|李宁儿童,云南省,玉溪市,澄江县,李宁,澄江县振兴路42号,24.668073,102.913071,购物服务;体育用品店;李宁专卖店,B0FFHBZ8C3
11,YoungLining|李宁童装|李宁儿童,云南省,玉溪市,红塔区,李宁童装店,红塔区北苑路41一1号,24.364512,102.553199,购物服务;专卖店;专营店,B0FFI0XXDU
12,YoungLining|李宁童装|李宁儿童,云南省,玉溪市,澄江县,李宁,澄江县振兴路42号,24.668073,102.913071,购物服务;体育用品店;李宁专卖店,B0FFHBZ8C3
13,YoungLining|李宁童装|李宁儿童,云南省,玉溪市,红塔区,李宁童装店,红塔区北苑路41一1号,24.364512,102.553199,购物服务;专卖店;专营店,B0FFI0XXDU
14,YoungLining|李宁童装|李宁儿童,山东省,泰安市,泰山区,李宁童装,泰山区岱庙街道通天街43号,36.189136,117.131963,购物服务;体育用品店;李宁专卖店,B0FFI5JG5P
15,YoungLining|李宁童装|李宁儿童,山东省,泰安市,泰山区,李宁童装,泰山区岱庙街道通天街43号,36.189136,117.131963,购物服务;体育用品店;李宁专卖店,B0FFI5JG5P
16,YoungLining|李宁童装|李宁儿童,湖南省,郴州市,北湖区,李宁(国庆北路店),北湖区郴州兴隆步行街16号门面,25.798759,113.031330,购物服务;体育用品店;李宁专卖店,B02DF0006G
17,YoungLining|李宁童装|李宁儿童,湖南省,郴州市,北湖区,李宁(国庆北路店),北湖区郴州兴隆步行街16号门面,25.798759,113.031330,购物服务;体育用品店;李宁专卖店,B02DF0006G
18,YoungLining|李宁童装|李宁儿童,河南省,鹤壁市,淇滨区,李宁童装,淇滨区九州路街道兴鹤大街爱之城四楼,35.732710,114.292805,购物服务;体育用品店;李宁专卖店,B0FFGA47JR
19,YoungLining|李宁童装|李宁儿童,河南省,鹤壁市,淇滨区,李宁童装,淇滨区九州路街道兴鹤大街爱之城四楼,35.732710,114.292805,购物服务;体育用品店;李宁专卖店,B0FFGA47JR
20,YoungLining|李宁童装|李宁儿童,陕西省,榆林市,榆阳区,李宁(榆林市生产力促进中心东南),榆阳区常乐路140号,38.287761,109.735618,购物服务;体育用品店;李宁专卖店,B03900NK8E
21,YoungLining|李宁童装|李宁儿童,陕西省,榆林市,榆阳区,李宁(新建南路),榆阳区新建南路159号,38.288051,109.754249,购物服务;体育用品店;李宁专卖店,B0FFF2SU5N
22,YoungLining|李宁童装|李宁儿童,陕西省,榆林市,榆阳区,kids,榆阳区常乐路139号,38.286536,109.736240,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFH7QE68
23,YoungLining|李宁童装|李宁儿童,陕西省,榆林市,榆阳区,李宁(榆林市生产力促进中心东南),榆阳区常乐路140号,38.287761,109.735618,购物服务;体育用品店;李宁专卖店,B03900NK8E
24,YoungLining|李宁童装|李宁儿童,陕西省,榆林市,榆阳区,李宁(新建南路),榆阳区新建南路159号,38.288051,109.754249,购物服务;体育用品店;李宁专卖店,B0FFF2SU5N
25,YoungLining|李宁童装|李宁儿童,陕西省,榆林市,榆阳区,kids,榆阳区常乐路139号,38.286536,109.736240,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFH7QE68
26,YoungLining|李宁童装|李宁儿童,新疆维吾尔自治区,克拉玛依市,独山子区,李宁童装,独山子区金盛百货四楼,44.326054,84.868446,购物服务;体育用品店;李宁专卖店,B0FFILETJ0
27,YoungLining|李宁童装|李宁儿童,新疆维吾尔自治区,克拉玛依市,独山子区,李宁童装,独山子区金盛百货四楼,44.326054,84.868446,购物服务;体育用品店;李宁专卖店,B0FFILETJ0
28,YoungLining|李宁童装|李宁儿童,新疆维吾尔自治区,巴音郭楞蒙古自治州,库尔勒市,李宁,库尔勒市人民东路天百商场三楼,41.770293,86.160495,购物服务;体育用品店;李宁专卖店,B0FFHJTNMJ
29,YoungLining|李宁童装|李宁儿童,新疆维吾尔自治区,巴音郭楞蒙古自治州,库尔勒市,李宁,库尔勒市人民东路天百商场三楼,41.770293,86.160495,购物服务;体育用品店;李宁专卖店,B0FFHJTNMJ
30,YoungLining|李宁童装|李宁儿童,内蒙古自治区,乌兰察布市,集宁区,李宁儿童,集宁区恩和大街14号附近,41.035051,113.115034,购物服务;购物相关场所;购物相关场所,B0FFHQLSOZ
31,YoungLining|李宁童装|李宁儿童,内蒙古自治区,乌兰察布市,集宁区,李宁儿童,集宁区恩和大街14号附近,41.035051,113.115034,购物服务;购物相关场所;购物相关场所,B0FFHQLSOZ
32,YoungLining|李宁童装|李宁儿童,山东省,临沂市,兰山区,LI-NING(九州商业大厦),兰山区解放路183号九州商业大厦F5层,35.067064,118.332856,购物服务;体育用品店;李宁专卖店,B0FFF6O57R
33,YoungLining|李宁童装|李宁儿童,山东省,临沂市,兰山区,安踏儿童,兰山区兰山街道解放路与通达路交汇和谐广场2楼,35.066620,118.327245,购物服务;专卖店;儿童用品店,B0FFHIPZLI
34,YoungLining|李宁童装|李宁儿童,山东省,临沂市,兰山区,LI-NING(九州商业大厦),兰山区解放路183号九州商业大厦F5层,35.067064,118.332856,购物服务;体育用品店;李宁专卖店,B0FFF6O57R
