,brand,province,city,area,name,address,lat,lng,Type,id
390,MissLi,内蒙古自治区,通辽市,科尔沁区,MISSLI,科尔沁区清真街道平安路北段万达广场二楼,43.630451,122.280871,购物服务;服装鞋帽皮具店;品牌服装店,B0FFH93HRD
112,MissLi,北京市,北京市,丰台区,Miss Li,丰台区成寿寺路鑫源国际一号楼708室A,39.857996,116.44427,购物服务;专卖店;专营店,B0FFGF6THL
366,MissLi,吉林省,四平市,公主岭市,Miss Li名品,公主岭市河南街道擦鞋一条街南侧,43.504093,124.814857,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFGVZCFM
290,MissLi,吉林省,松原市,前郭尔罗斯蒙古族自治县,MISSLI,前郭尔罗斯蒙古族自治县乌兰大街576号附近,45.115765,124.824036,购物服务;购物相关场所;购物相关场所,B0FFHS6M7M
291,MissLi,吉林省,松原市,宁江区,MISSLI专柜,宁江区伯都讷大街东镇城市广场二楼,45.171387,124.842682,购物服务;购物相关场所;购物相关场所,B0FFIZNW6E
605,MissLi,四川省,乐山市,市中区,Miss Li,市中区[],29.599054,103.736463,购物服务;专卖店;专营店,B0FFI8SGN7
604,MissLi,四川省,乐山市,沐川县,MISSLI,沐川县建设街2号,28.95841,103.903918,购物服务;购物相关场所;购物相关场所,B0FFHO4Y5G
408,MissLi,四川省,内江市,市中区,MISS LI,市中区天津街23-25号,29.585142,105.066471,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFFFP6ZN
272,MissLi,四川省,南充市,顺庆区,MISSLI(文化路店),顺庆区文化路64号,30.792571,106.0867,购物服务;服装鞋帽皮具店;品牌服装店,B0FFFT1AIE
512,MissLi,四川省,宜宾市,南溪区,MissLi(北大街店),南溪区街心花园,28.838064,104.978767,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFFTRJ4V
513,MissLi,四川省,宜宾市,翠屏区,Miss Li木子家,翠屏区五粮液大道旧州路3附19号附近,28.788307,104.612802,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFGCGX1J
564,MissLi,四川省,广元市,利州区,MISSLI,利州区宝轮镇恒星商城,32.382042,105.642967,购物服务;购物相关场所;购物相关场所,B0FFH81R26
565,MissLi,四川省,广元市,利州区,MISSLI(东街),利州区老城东街鑫钰珠宝旁,32.436186,105.822341,购物服务;服装鞋帽皮具店;品牌服装店,B0FFFJXIHH
384,MissLi,四川省,广安市,武胜县,MISSLI,武胜县沿口镇盛达广场,30.344659,106.290586,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFFRJGQ2
385,MissLi,四川省,广安市,邻水县,MISSLI,邻水县建新路与滨南二巷交叉口东北50米,30.333995,106.933787,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFFYTI8O
