,brand,province,city,area,name,address,lat,lng,Type,id
473,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,上海市,上海市,宝山区,艾诺丝雅诗,宝山区长临路913-999号北斗星商业广场1层,31.325043,121.435624,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFI3KCIL
474,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,上海市,上海市,金山区,ARIOSEyears(万达广场店),金山区龙皓路1088号万达广场1层,30.754221,121.33465100000001,购物服务;专卖店;专营店,B0FFI7OL2V
475,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,上海市,上海市,长宁区,ARIOSE&years(龙之梦购物中心),长宁区长宁路1018号龙之梦购物中心L3层3041,31.219615,121.41635,购物服务;服装鞋帽皮具店;品牌服装店,B0FFHC02O0
477,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,上海市,上海市,闵行区,ARIOSE years,闵行区沪闵路7388号百联南方旗舰总店1层,31.132171999999997,121.400136,购物服务;专卖店;专营店,B0FFGC1S87
123,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,云南省,丽江市,永胜县,艾诺丝·雅诗,永胜县井源街与民主广场交叉口东北100米,26.683898,100.750252,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFFWBZUQ
517,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,云南省,保山市,昌宁县,艾诺丝.雅诗(昌宁店),昌宁县兴宁街108号,24.826841,99.613457,购物服务;服装鞋帽皮具店;品牌服装店,B0FFG0KEJB
515,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,云南省,保山市,隆阳区,艾诺丝·雅诗,隆阳区上巷街与陆家街交叉口东北100米,25.113035,99.16150999999999,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B036B0NR9O
516,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,云南省,保山市,龙陵县,艾诺丝.雅诗(龙陵店),龙陵县凤凰城三排,24.587726,98.69072,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFG0K5E6
670,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,云南省,大理白族自治州,祥云县,ARIOSE years,祥云县祥城镇文苑路2栋,25.479313,100.555459,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFIKMOF6
601,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,云南省,德宏傣族景颇族自治州,瑞丽市,ARIOSEyears,瑞丽市勐卯镇卯喊路9号景成大酒店对面,24.008879,97.855777,购物服务;服装鞋帽皮具店;品牌服装店,B0FFGK5900
602,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,云南省,德宏傣族景颇族自治州,芒市,艾诺丝雅诗,芒市风情街2-309号,24.425639,98.582933,购物服务;服装鞋帽皮具店;品牌服装店,B0FFH5FK7S
658,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,云南省,怒江傈僳族自治州,泸水市,艾诺丝.雅诗(六库店),泸水市穿城路190号,25.851160999999998,98.85493000000001,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B037613K46
648,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,云南省,文山壮族苗族自治州,丘北县,ARIOSEyears,丘北县文翠路纳纹旁,24.040360999999997,104.190229,购物服务;服装鞋帽皮具店;品牌服装店,B0FFIGA8QS
650,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,云南省,文山壮族苗族自治州,丘北县,艾诺丝,丘北县锦屏镇金色荷塘,24.040439000000003,104.190198,购物服务;购物相关场所;购物相关场所,B0FFFSJC0U
651,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,云南省,文山壮族苗族自治州,富宁县,艾诺丝,富宁县珑端街24号,23.627326,105.627641,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFH5LE81
649,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,云南省,文山壮族苗族自治州,文山市,艾诺丝,文山市常春街26号,23.367103,104.252365,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFHCNSQ2
247,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,云南省,昆明市,五华区,艾诺丝(宝善街),五华区护国街道宝善街191号,25.036008,102.713249,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFGI1RPV
248,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,云南省,昆明市,呈贡区,艾诺丝(古银路),呈贡区光明巷与古银路交叉口东北50米,24.890351000000003,102.803438,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFIGCS2N
246,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,云南省,昆明市,安宁市,艾诺丝雅诗(金兴街),安宁市金沙小区89号,24.913328,102.46731,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFG4B8VY
249,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,云南省,昆明市,宜良县,艾诺丝(清远街),宜良县清远街与环城西路交叉口东50米,24.917084,103.143198,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFF42FMV
245,ARIOSEYEARS|艾诺丝雅诗|艾诺丝·雅诗,云南省,昆明市,晋宁区,艾诺丝雅诗,晋宁区嘉誉商业广场一楼,24.664776,102.59630600000001,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,B0FFJ2CTDE
