,brand,province,city,area,name,address,lat,lng,Type,id
9325,匹克,上海市,上海市,徐汇区,匹克,徐汇区大木桥路626号附近,31.195388,121.462846,购物服务;体育用品店;体育用品店,B0FFHXQ7Q8
9326,匹克,上海市,上海市,徐汇区,匹克体育(龙吴路),徐汇区龙吴路13弄-1-12号,31.173336,121.444549,购物服务;体育用品店;体育用品店,B0FFG2JMLY
9333,匹克,上海市,上海市,徐汇区,the peak,徐汇区零陵路794号附近,31.181984000000003,121.44076399999999,购物服务;专卖店;专营店,B0FFHXQ6RZ
9327,匹克,上海市,上海市,松江区,匹克体育,松江区九亭大街581号附近,31.126995,121.32546799999999,购物服务;体育用品店;体育用品店,B0FFI18B5Y
9331,匹克,上海市,上海市,金山区,匹克运动,金山区龙皓路1088号万达广场F3,30.753873,121.335177,购物服务;体育用品店;体育用品店,B0FFILFWEB
9332,匹克,上海市,上海市,金山区,匹克专柜,金山区金山卫镇城河路易家中心4号楼,30.730186,121.328255,购物服务;购物相关场所;购物相关场所,B0FFIWUQVG
9329,匹克,上海市,上海市,闵行区,匹克(罗锦路店),闵行区罗锦路79-3号附近,31.123721999999997,121.41919399999999,购物服务;购物相关场所;购物相关场所,B0FFJ519YB
9334,匹克,上海市,上海市,闵行区,PEAK匹克体育,闵行区浦江镇汇鲁镇闸航路2568号(海澜之家旁),31.019617999999998,121.53561100000002,购物服务;购物相关场所;购物相关场所,B0FFIORTHS
9328,匹克,上海市,上海市,黄浦区,PEAK(永安百货),黄浦区南京东路635号永安百货F4层,31.234992,121.47811599999999,购物服务;体育用品店;体育用品店,B0FFFEO52J
9330,匹克,上海市,上海市,黄浦区,运动一百匹克,黄浦区南京东路800号东方商厦七楼,31.235262,121.475388,购物服务;购物相关场所;购物相关场所,B0FFIXGEGL
9318,匹克,云南省,临沧市,临翔区,匹克体育(玉龙街),临翔区玉龙街78号,23.8781,100.08471800000001,购物服务;体育用品店;体育用品店,B0FFGICQCZ
9316,匹克,云南省,临沧市,双江拉祜族佤族布朗族傣族自治县,匹克(勐勐北路店),双江拉祜族佤族布朗族傣族自治县勐勐北路4-1号,23.473675,99.825864,购物服务;体育用品店;体育用品店,B03730MUOU
9313,匹克,云南省,临沧市,耿马傣族佤族自治县,匹克,耿马傣族佤族自治县孟定镇中缅街150号,23.55366,99.07973,购物服务;体育用品店;体育用品店,B03730N6MK
9317,匹克,云南省,临沧市,耿马傣族佤族自治县,匹克体育(青年路),耿马傣族佤族自治县青年路(耿马傣族佤族自治县农业局西南),23.537241,99.406402,购物服务;体育用品店;体育用品店,B0FFG79BFE
9314,匹克,云南省,临沧市,镇康县,匹克,镇康县泰安路7号,23.766457,98.831024,购物服务;体育用品店;体育用品店,B0FFIBCXRG
9315,匹克,云南省,临沧市,镇康县,匹克,镇康县南伞镇泰和路93号,23.765007,98.83144,购物服务;体育用品店;体育用品店,B03730N5WH
9778,匹克,云南省,丽江市,华坪县,匹克(桂花巷),华坪县锦华路与东路交叉口南50米,26.629747,101.26679399999999,购物服务;体育用品店;体育用品店,B0378159WE
9781,匹克,云南省,丽江市,华坪县,匹克专卖店,华坪县荣将镇荣将街33号,26.573269,101.276966,购物服务;体育用品店;体育用品店,B0FFGCQ8LG
9779,匹克,云南省,丽江市,古城区,匹克体育,古城区福慧路丽江国际购物广场A区三楼,26.876621000000004,100.22962700000001,购物服务;体育用品店;体育用品店,B0FFHQNESE
9780,匹克,云南省,丽江市,古城区,匹克体育(民主路),古城区民主路与福慧路交叉口南100米,26.876886,100.231811,购物服务;体育用品店;体育用品店,B0FFGCQB8W
9777,匹克,云南省,丽江市,永胜县,匹克(南街),永胜县吉庆路与有余巷交叉口西南50米,26.68464,100.748799,购物服务;体育用品店;体育用品店,B0378159K0
2234,匹克,云南省,保山市,腾冲市,匹克(012乡道),腾冲市012乡道与317省道交叉口东北50米,25.322881,98.279147,购物服务;体育用品店;体育用品店,B036B0NBMU
2233,匹克,云南省,保山市,隆阳区,匹克(保岫西路),隆阳区保岫西路73号,25.114155,99.161151,购物服务;体育用品店;体育用品店,B036B0N7F8
2235,匹克,云南省,保山市,隆阳区,匹克体育(中共蒲缥镇委员会东南),隆阳区赛格公路与320国道交叉口南200米,25.009519,99.016917,购物服务;体育用品店;体育用品店,B0FFG0TJDA
2236,匹克,云南省,保山市,龙陵县,匹克体育(龙山路),龙陵县龙山路8-4号,24.5873,98.690625,购物服务;体育用品店;体育用品店,B0FFG0GRIB
11680,匹克,云南省,大理白族自治州,南涧彝族自治县,匹克运动,南涧彝族自治县富民街16号,25.045923000000002,100.523706,购物服务;专卖店;专营店,B0368156MQ
